# IR Spectrum computed with MARS + SO3LR (Analytical Hessian)
# Temperature: 300.0 K
# Energy: -40.423313 eV
#
# Frequency (cm⁻¹)    Intensity (normalized)
           -5.55              0.000297
           -2.46              0.000977
           -1.58              0.000504
           -0.74              0.000000
           -0.24              0.000000
            1.12              0.000753
           41.08              0.000122
           53.80              0.005742
           59.54              0.008803
           73.59              0.016470
          103.71              0.020725
          149.94              0.003619
          177.10              0.021181
          212.83              0.001039
          226.14              0.009016
          298.59              0.007694
          320.24              0.003539
          353.16              0.047702
          429.91              0.044926
          469.32              0.122161
          492.64              0.045399
          589.18              0.015430
          631.75              0.011077
          667.22              0.025260
          698.93              0.132069
          797.67              0.002285
          873.04              0.002595
          917.00              0.003299
          983.53              0.018687
         1014.18              0.004957
         1054.00              0.020550
         1059.09              0.004571
         1076.12              0.004219
         1156.13              0.007308
         1162.85              0.017445
         1172.25              0.032737
         1195.33              0.038872
         1275.16              0.083828
         1281.91              0.062055
         1349.02              0.044324
         1364.43              0.018876
         1386.44              0.085927
         1401.14              0.008869
         1426.47              0.025730
         1451.30              0.017893
         1463.96              0.008318
         1472.03              0.075464
         1487.43              0.004781
         1488.77              0.023897
         1492.77              0.014021
         1557.41              0.895689
         1599.51              0.574429
         1746.65              0.641651
         1784.26              1.000000
         3042.70              0.175524
         3061.45              0.015115
         3062.25              0.038174
         3092.04              0.009931
         3109.79              0.088390
         3141.96              0.027841
         3144.72              0.024898
         3155.65              0.023496
         3159.04              0.020286
         3159.14              0.025538
         3542.58              0.461649
         3673.79              0.074869
